Lemma	POS	Description
affinitas	13	
affirmatio	13	
affirmo	51	
afflatus	14	
afflictatio	13	
afflicto	51	
afflictus1	14	
afflictus2	21	 (Uniquement au Comparatif)
affligo	53	
afflo	51	
affluens	25	 =ABVNDANS (propre); COPIOSVS, REFERTVS
affluenter	60	
affluentia	11	
affluo	53	
affor	5J	
affrico	51	
affulgeo	52	
affundo2	53	
Africa	11	
africanus_C	12	
Africanus	21	
Africus	21	
Africus	12	
agaso	13	
Agathinus	12	
Agathocles	17	
age	90	
agedum	90	
agellus	12	
agens1	13	 = ACTOR IN IVDICIO
agens2	25	 =EFFICAX, ACTVOSVS (Rhétorique);ACTIF (Grammaire)
ager	12	
agger	13	
aggeratio	13	
aggero1	51	 (pas de Sous-lemme)
aggero2	53	 (pas de Sous-lemme)
aggestus	14	
agglomero	51	
agglutino	51	
aggrauo	51	
aggredior	5N	
aggrego	51	
agilis	24	
agilitas	13	
agitabilis	24	
agitatio	13	
agitator	13	
agitatus1	14	
agitatus2	21	 =INCITATVS
agite	90	
agito	51	
agmen	13	
agna	11	
agnascor	5L	
agnatus	12	
agnina	11	
agninus	21	
agnosco	53	
agnus	12	
ago	53	
agon	17	
agrammatus	21	
agrarii	12	
agrarius	21	
agrestis1	13	 Le Paysan
agrestis2	24	
agricola	11	
Agrigentini	12	
Agrigentinus	21	
Agrigentum	12	
Agrippa	11	
agro	51	
Agyrinenses	13	
Agyrinensis	24	
Agyrium	12	
ah	90	
Aiax	13	
aio	56	
ala	11	
alacer	23	
alacritas	13	
alacriter	60	
alapa	11	
alarii	12	
alarius	21	
alatus	21	
Alba1	11	 =Vir
Alba2	11	 =Vrbs
Albani	12	
Albanus	21	
albarius	21	
albatus	21	
albeo	52	
albesco	53	
albiceris	24	
albico	51	
albidus	21	
Albinus	12	
Albula	11	
albulus	21	
album	12	
albus	21	
alces	13	
alcyon	17	
alcyoneum	12	
alea	11	
aleator	13	
alebria	13	
aleo	13	
ales1	13	 L'Oiseau; Le Présage
ales2	25	
alesco	53	
Alexander	17	
Alexandria	11	
alga	11	
algeo	52	
algidus	21	
algor	13	
algus	14	
alia	60	
alias	60	
alibi	60	
alica	11	
alicubi	60	
alicunde	60	
alienatio	13	
alienigena	11	
alienigenus	21	
alieno	51	 (pas de Sous-lemme)
alienum	12	 Ce qui appartient à autrui (Sg.);Les affaires d'autrui (PI.)
alienus1	12	 Celui qui n'est pas parent
alienus2	21	
aliger	21	
alimentum	12	
alimonium	12	
alio	60	
alioqui	60	
alipes	25	
alipilus	12	
aliptes	17	
aliqua	60	
aliquam	60	
aliquamdiu	60	 (forme en 1 ou 2 mots)
aliquammultus	21	 (forme en 1 ou 2 mots)
aliquando	60	
aliquanto	60	
aliquantulum1	48	
aliquantulum2	60	
aliquantum1	48	
aliquantum2	60	
aliquantus	48	
aliquatenus	60	
aliquis	48	
aliquo	60	
aliquot	48	
aliquotfariam	60	
aliquotiens	60	
alis	48	
aliter	60	
aliubi	60	
aliunde	60	
alius	48	
aliusmodi	60	 (forme en 1 ou 2 mots)
allabor2	5L	
allaboro	51	
allapsus	14	
allaudabilis	24	
allec	13	
allecto	51	 (pas de Temps Primitifs)
allegatio	13	
allego1	51	 (pas de Sous-lemme)
allego2	53	
alleuo1	51	
alleuo2	51	
allex	13	
allicefacio	55	 (forme en 1 ou 2 mots)
allicio	55	 (pas de Sous-lemme)
allido	53	
alligatio	13	
alligo2	51	
allino	53	
allium	12	
Allobroges	17	
Allobrox	27	 (Ace. ALLOBROGA)
allocutio	13	
alloquium	12	
alloquor	5L	
alluceo	52	
alludo	53	
alluo	53	
almus	21	
alneus	21	
alnus	12	
alo	53	
aloe	17	
Alpes	13	
alpha	16	
alsius	21	
altar	13	
alte	60	
alter	48	
alteras	60	
altercatio	13	
altercor	5J	
alternis	60	
alterno	51	
alternus	21	
altero	51	
alteruter	48	 (forme en 1 ou 2 mots)
altilis1	13	
altilis2	24	
altisonus	21	
altitonans	25	
altitudo	13	
altiuolans	25	
altor	13	
altrinsecus	60	
altrix	13	
altum	12	 Le lieu profond ou élevé (avec Prép.);La haute mer
altus	21	
aluarium	12	
alucinatio	13	
alueatus	21	
alueolatus	21	
alueolus	12	
alueus	12	
alumen	13	
aluminosus	21	
alumna	11	
alumnus1	12	
alumnus2	21	
Aluntini	12	
Aluntinus	21	
Aluntium	12	
aluta1	11	 Le Cuir
aluta2	11	 Le Métal
aluus	12	
am	70	
amabilis	24	
amabiliter	60	
amando2	51	
amans1	13	
amans2	25	
amanter	60	
amara	12	
amaracinum	12	
amaracus	12	
amarantus	12	
amare	60	
amaritas	13	
amarities	15	
amaritudo	13	
amaror	13	
amarus	21	
amator	13	
amatorium	12	
amatorius	21	
ambactus	12	
ambages	13	
ambarualis	24	
ambedo2	56	
ambeo1	56	
ambigo	53	
ambigue	60	
ambiguitas	13	
ambiguum	12	 (A tous les sens de L'Adj.;Sg.,Pl.)
ambiguus	21	
ambio	56	
ambitio	13	
ambitiose	60	
ambitiosus	21	
ambitus	14	
ambo2	31	
ambrosia	11	
ambrosius	21	
ambubaia	11	
ambulatio	13	
ambulator	13	
ambulatorius	21	
ambulatrix	13	
ambulo	51	
amburo	53	
amellus	12	
amens	25	
amentia	11	
amentum	12	
Ameriola	11	
ames	13	
Amestratini	12	
Amestratinus	21	
Amestratus	12	
amethystina	12	
amethystus	12	
amica	11	
amice	60	
amicio	54	
amicitia	11	
amicities	15	
amictus	14	
amiculum	12	
amiculus	12	
amicus1	12	
amicus2	21	
amissio	13	
amita	11	
amitto	53	
ammoniacus	21	
amnis	13	
amo	51	
amoenitas	13	
amoenus	21	
amolior	5M	
amomon	17	
amomum	12	
amor	13	
amoueo	52	
ampheres	27	
Amphilochi	12	
amphio	17	
Amphipolis	17	
amphiprostylos	27	
amphithalamus	17	
amphitheatrum	12	
amphora	11	
ampla	11	
ample	60	
amplector	5L	
amplexor	5J	
amplexus	14	
amplificatio	13	
amplificator	13	
amplifice	60	
amplifico	51	
amplio	51	
amplitudo	13	
amplius	13	 =AMPLIVS,AMPLIORIS
amplus	21	
ampullor	5J	
amputo	51	
Amulius	12	
amurca	11	
amurcarius	21	
amusos	27	
amussium	12	
amygdalum	12	
amylum	12	
amystis	17	
an	67	
anabathrum	12	
anadema	17	
analecta	11	
analemma	17	
analemptris	13	
analogia	17	
anaphoricus	21	
anatonus	21	
anceps1	13	 La Situation critique (Sg.,Pl.)
anceps2	25	
Anchises	17	
ancile	16	
ancilla	11	
ancillariolus	12	
ancillaris	24	
ancillula	11	
ancisus	21	
ancon	17	
ancora	11	
Ancus	12	
Andro	17	
andron	17	
andronitis	17	
Androsthenes	13	
anellus	12	
anethum	12	
anfractus1	14	
anfractus2	21	
angellus	12	
angelus	12	
angina	11	
angiportum	12	
angiportus	14	
ango	53	
angor	13	
angubatae	11	
anguicomus	21	
anguifer	21	
anguilla	11	
anguimanus	26	
anguineus	21	
anguinus	21	
anguis	13	
angularis	24	
angulus	12	
anguste	60	
angustia	11	
angusto	51	
angustum	12	 (Uniquement au Sg. dans les locutions avec Prép.)
angustus	21	
anhelitus	14	
anhelo	51	
anhelus	21	
aniatrologetus	21	
anicula	11	
anilis	24	
anilitas	13	
aniliter	60	
anima	11	
animaduersio	13	
animaduerto	53	
animal	13	
animalis	24	
animans1	13	 Tout ce qui vit (Masc., Fém. et Neutre)
animans2	25	
animatio	13	
animatus	21	 Vivant;Animé de tel ou tel sentiment
animo	51	
animose	66	
animosus	21	
animus	12	
Anio	16	
anisocycli	17	
anisum	12	
Annaea	11	
Annaeus	12	
annalis1	13	 (Même sens que LAdj.)
annalis2	24	
annato	51	
anne	67	
annecto	53	
Annia	11	
Annianus	21	
anniculus	21	
annitor2	5L	
anniuersarius	21	
Annius	12	
anno1	51	 Nager vers
anno2	51	 Passer l'année
annona	11	
annosus	21	
annotinus	21	
annoto	51	
annumero1	51	
annuntio	51	
annuo	53	
annus	12	
annuum	12	
annuus	21	
anquiro	53	
ansa	11	
anser	13	
antae	11	
antarius	21	
ante1	60	
ante2	70	
antea	60	
anteactus	21	 (forme en 1 ou 2 mots)
anteago	53	 (forme en 1 ou 2 mots)
anteaquam	82	
antecapio2	55	
antecedens	25	
antecedentia	13	
antecedo1	53	
antecello	53	
antecessor	13	
antechon	57	
antecurro	53	
antecursor	13	
anteeo1	56	
antefero	56	
antefixum	12	
antefixus	21	
antehabeo	52	
antehac	60	
antelucanus	21	
antemeridianus	21	
Antemnates	13	
antenna	11	
Antenor	17	
antepagmentum	12	
antepono	53	 (forme en 1 ou 2 mots)
antequam	82	 (forme en 1 ou 2 mots)
anteris	17	
antes	13	
antesignanus1	12	
antesignanus2	21	
antesto	51	
antestor	5J	
anteuenio	54	
anteuerto	53	 (pas de Temps Primitifs)
Anthropinus	12	
Antiates	13	
antibasis	17	
antiboreum	12	
anticipo	51	
antidotum	12	
Antigonus	12	
Antiochenses	13	
Antiochia	11	
Antiochus	12	
antipodes	17	
antiquaria	11	
antiquarius1	12	
antiquarius2	21	
antique	60	
antiqui	12	
antiquitas	13	
antiquitus	60	
antiquum	12	
antiquus	21	
antistes	13	
antistita	11	
Antistius	12	
antitheton	17	
Antium	12	
Antoniani	12	
Antonianus	21	
Antonius	12	
antrum	12	
anularius	21	
anulus	12	
anus1	12	
anus2	14	
anxie	60	
anxietas	13	
anxius	21	
Aonia	11	
Apelles	13	
aper	12	
aperio	54	
aperte	60	
apertum	12	 =LOCVS APERTVS (Uniquement dans les locutions avec Prép.;Sg.,Pl.)
apertura	11	
apertus	21	
apex	13	
apiacus	21	
apicius	21	
Apicius	12	
Apiolae	11	
apis	13	
apiscor	5L	
apium	12	
aplustre	16	
Apollo	13	
Apollodorus	12	
Apollonia	11	
Apolloniatae	17	
Apolloniensis	24	
Apollonius	12	
apologo	51	
apophysis	17	
apotheca	11	
apothesis	17	
appagineculi	12	
apparatio	13	
apparatus1	14	
apparatus2	21	 =ORNATVS, INSTRVCTVS
appareo	52	
appario	55	
apparitio	13	
apparitor	13	
apparo2	51	
appellatio	13	
appellator	13	
appellito	51	
appello1	51	
appello2	53	
appendeo	52	 (pas de Temps Primitifs)
appendix	13	
appendo	53	 (pas de Sous-lemme)
apperior	5M	
appetens	25	 Qui désire (+ Génitif)
appetitio	13	
appetitus	14	
appeto	53	
Appius	12	
applaudo	53	
applicatio	13	
applico	51	
apploro	51	
appono	53	
apportatio	13	
apporto	51	
appositus	21	
apprecor	5J	
apprehendo	53	
apprehensio	13	
apprime	60	
apprimo	53	 (pas de Sous-lemme)
apprimus	21	
approbatio	13	
approbo	51	
appropero	51	
appropinquo	51	
appugno	51	
appulsus	14	
apricum	12	
apricus	21	
Apronianus	21	
Apronius	12	
apte	60	
apto	51	
aptus	21	
apud	70	
apyrenum	12	
aqua	11	
aqualiculus	12	
aqualis2	24	
aquarium	12	
aquarius1	12	
aquarius2	21	
aquaticus	21	
aquatio	13	
aquator	13	
aquatus	21	
aquifolius	21	
aquila	11	
